"Repository","Title","Call No.","Language(s)","Date","CompuDate","Place","Keywords","Front Cover","OPenn Record","Data","Page Turning","Penn in Hand Record","Summary","Collation View","Online","Month Photographed"
"Free Library of Philadelphia","Chronica summorum pontificum et imperatorum romanorum (Chronicle of Popes and Emperors)","Lewis E 68","Latin","Circa 1460","1460","Germany","Chronicle;15th century;German;Germany;Gothic;History","http://openn.library.upenn.edu/Data/0023/lewis_e_068/data/web/5302_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_068.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_068.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_068/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_068/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_068/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_068/index.html#page/1/mode/2up</a>,"","This manuscript contains a chronicle of popes and emperors.",Collation View: <a href=""/>,"Online? Yes",""
"Free Library of Philadelphia","Letter to Damasus on the death of Saint Jerome","Lewis E 70","Italian","Third quarter of the fifteenth century; written in pen on the verso of the front flyleaf: al anno 1553; dated 1553 after the end of the text (fol. 108r)","1450-1475","Italy","Saint's Life;15th century;Christian;Humanistic;Illustration;Theology;History;Italy;Inhabited initial","http://openn.library.upenn.edu/Data/0023/lewis_e_070/data/web/4331_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_070.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_070.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_070/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_070/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_070/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_070/index.html#page/1/mode/2up</a>,"","This manuscript is a fifteenth-century Italian copy of the Letter to Damascus on the death of Saint Jerome, by Saint Eusebius of Cremona",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_070/lewis_e_070.html">http://138.197.87.173/bibliophilly/collation/lewis_e_070/lewis_e_070.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Index to moralia in job; Legenda sanctorum (Lives of the saints)","Lewis E 76","Latin","Circa 1425","1425","Germany","Biography;Christian;Germany;15th century;Gothic book hand;Paper;Church Fathers;History","http://openn.library.upenn.edu/Data/0023/lewis_e_076/data/web/5708_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_076.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_076.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_076/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_076/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_076/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_076/index.html#page/1/mode/2up</a>,"","This manuscript is a fifteenth-century German copy of the index to Pope Gregory I's Moralia in Job and Augustine of Hippo's Legenda sanctorum.",Collation View: <a href=""/>,"Online? Yes",""
"Free Library of Philadelphia","Liturgical text; Manipulus curatorum (Handbook for priests)","Lewis E 78","Latin","Early 15th century; 12th century","1400-1415","Germany?","12th century;15th century;Christian;Germany;Notable binding;Original binding;Theology;Liturgy","http://openn.library.upenn.edu/Data/0023/lewis_e_078/data/web/5800_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_078.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_078.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_078/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_078/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_078/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_078/index.html#page/1/mode/2up</a>,"","This manuscript is an early fifteenth-century copy, possibly from Germany, of the Manipulus curatorum (Handbook for Priests).",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_078/lewis_e_078.html">http://138.197.87.173/bibliophilly/collation/lewis_e_078/lewis_e_078.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Expositio super orationem dominicam (Exposition on Sunday oration); Expositio super salutationem angelicam (Exposition on the annunciation)","Lewis E 79","Latin","1415","1415","Netherlands","15th century;Treatise;Christian;Netherlands;Gothic book hand;Notable binding;Paper;Biblical;Liturgy","http://openn.library.upenn.edu/Data/0023/lewis_e_079/data/web/5569_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_079.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_079.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_079/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_079/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_079/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_079/index.html#page/1/mode/2up</a>,"","This manuscript contains Expositio super orationem dominicam (Exposition on Sunday Oration) and Expositio super salutationem angelicam (Exposition on the Annunciation).",Collation View: <a href=""/>,"Online? Yes",""
"Free Library of Philadelphia","Vitae patrum (Lives of the Fathers)","Lewis E 82","Latin","1464","1464","Germany","Biography;15th century;German;Germany;Gothic;Colophon;Church Fathers;History;Watermark","http://openn.library.upenn.edu/Data/0023/lewis_e_082/data/web/5307_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_082.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_082.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_082/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_082/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_082/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_082/index.html#page/1/mode/2up</a>,"","This manuscript contains a copy of Vitae patrum dated 1464.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_082/lewis_e_082.html">http://138.197.87.173/bibliophilly/collation/lewis_e_082/lewis_e_082.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Historia belli civilis inter Caesarem et Pompeium","Lewis E 83","Latin","Circa 1450","1440-1460","Italy","History;15th century;Italian;Italy;Gothic;Literature -- Prose","http://openn.library.upenn.edu/Data/0023/lewis_e_083/data/web/4223_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_083.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_083.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_083/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_083/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_083/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_083/index.html#page/1/mode/2up</a>,"","This manuscript contains an account of the civil war between Caesar and Pompey compiled from several classical and medieval authors.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_083/lewis_e_083.html">http://138.197.87.173/bibliophilly/collation/lewis_e_083/lewis_e_083.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Book of Hours, Use of Besançon?","Lewis E 85","Latin","Circa 1430","1430","Besançon?, France","Book of Hours;15th century;Miniature;Illumination;Illustration;France;French;Christian;Private devotional text;Devotion;Liturgy","http://openn.library.upenn.edu/Data/0023/lewis_e_085/data/web/4340_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_085.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_085.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_085/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_085/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_085/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_085/index.html#page/1/mode/2up</a>,"","This Book of Hours, produced around 1430, is likely for the Use of Besançon. The text of the Hours of the Virgin is corrupted and only includes seven hours. Seven miniatures are included for the Hours of the Virgin, preceded by a miniature of Saint John the Baptist in the guise of John the Evangelist, and followed by a miniature of the penitent King David. The calendar, which contains many saints local to Besançon, is a separate textual unit.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_085/lewis_e_085.html">http://138.197.87.173/bibliophilly/collation/lewis_e_085/lewis_e_085.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Book of Hours, Use of Bourges","Lewis E 87","Latin","Calendar includes feast of Saint William, archbishop of Bourges in blue (fol. 1r, January 10); Dedication of the Cathedral of Bourges in blue (fol. 3r, May 5); rubric on fol. 7v mentions the Use of Bourges; between 1490 and 1510","1490-1510","Bourges, France","Book of Hours;15th century;France;French;Damage;Miniature;Illumination;16th century;Prayer;Prayer book;Private devotional text;Illustration","http://openn.library.upenn.edu/Data/0023/lewis_e_087/data/web/4288_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_087.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_087.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_087/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_087/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_087/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_087/index.html#page/1/mode/2up</a>,"","This manuscript is a compact Book of Hours of the Use of Bourges produced around the turn of the sixteenth century. The Hours of the Virgin are intercalated with the Hours of the Cross. Its miniatures have been excised, but every remaining text page has been decorated with a shaded gold border on the three outer sides, a blue cherub at the outer margin and two red seraphim above and below the text respectively. The lower pastedown contains a signed ownership note by the prominent Bourges patrician and book collector Jean Lallemant the Younger (d. 1548), dated to July 12, 1544. This has been taken erroneously as the date of the book, which is in fact significantly earlier.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_087/lewis_e_087.html">http://138.197.87.173/bibliophilly/collation/lewis_e_087/lewis_e_087.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Book of Hours, Use of Utrecht","Lewis E 88","Latin","Circa 1410","1410","Netherlands","Book of Hours;15th century;Netherlands;Historiated initial;Missing leaves;Miniature;Illustration;Private devotional text;Devotion;Liturgy","http://openn.library.upenn.edu/Data/0023/lewis_e_088/data/web/4341_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_088.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_088.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_088/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_088/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_088/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_088/index.html#page/1/mode/2up</a>,"","This manuscript is an early fifteenth-century Book of Hours, written in Latin in the Netherlands.  Many leaves are now missing, probably with illuminations, but several leaves with historiated initials and floral borders remain at major divisions. The text has an unusual two-column layout.",Collation View: <a href=""/>,"Online? Yes",""
"Free Library of Philadelphia","Book of Hours, Use of Châlons","Lewis E 89","Latin; French, Middle (ca.1400-1600)","Use of Châlons, as currently listed for this book, is likely erronenous: the particular combination of Aniphons and Chapters in the Hours of the Virgin is equally valid for Mons, Belgium, and the litany includes two saints, Ghislain (fol. 94v), and Waltrudis, (fol. 95v), closely associated with this diocese; circa 1400","1400","Châlons, France Mons?, Belgium","Book of Hours;14th century;15th century;France;Belgium;Illumination;Private devotional text;Devotion;Liturgy","http://openn.library.upenn.edu/Data/0023/lewis_e_089/data/web/4352_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_089.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_089.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_089/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_089/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_089/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_089/index.html#page/1/mode/2up</a>,"","This well-used Book of Hours of circa 1400, previously catalogued as being of the Use of Châlons in the Champagne region, is more likely identifiable as being produced in the diocese of Mons, as its litany includes saints Ghislain (fol. 94v), and Waltrudis, (fol. 95v). The book was owned in the 17th century by the Jesuit College at Louvain, bolstering the Wallonian provenance. The book lacks a calendar but appears to be otherwise intact. There are French prayers added in another hand on folios 144r-160v.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_089/lewis_e_089.html">http://138.197.87.173/bibliophilly/collation/lewis_e_089/lewis_e_089.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Book of Hours, Use of Coutances","Lewis E 90","Latin; French, Middle (ca.1400-1600)","Third quarter 15th century","1450-1475","Rouen?, France","Book of Hours;15th century;French;France;Christian;Miniature;Illumination;Illustration;Devotion;Private devotional text;Liturgy","http://openn.library.upenn.edu/Data/0023/lewis_e_090/data/web/4870_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_090.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_090.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_090/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_090/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_090/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_090/index.html#page/1/mode/2up</a>,"","This manuscript is a book of hours, Use of Coutances, probably made in Rouen in the third quarter of the fifteenth century.  It is illuminated with five three-quarter page miniatures and floral borders in the calendar and on pages for major text divisions.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_090/lewis_e_090.html">http://138.197.87.173/bibliophilly/collation/lewis_e_090/lewis_e_090.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Book of Hours, Use of Utrecht","Lewis E 91","Dutch, Middle (ca.1050-1350)","Late 15th century","1485-1499","Netherlands","Book of Hours;15th century;Netherlands;Christian;Miniature;Private devotional text;Devotion;Liturgy;Illustration","http://openn.library.upenn.edu/Data/0023/lewis_e_091/data/web/4354_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_091.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_091.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_091/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_091/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_091/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_091/index.html#page/1/mode/2up</a>,"","This manuscript is a late fifteenth-century Dutch book of hours for the Use of Utrecht with a calendar for the Use of Maastricht. Occasional corrections or additions are written in the lower margin with points of insertion marked in the text, possibly by the scribe. Two miniatures, a Pieta and a penitent David, are by a much later artist.",Collation View: <a href=""/>,"Online? Yes",""
"Free Library of Philadelphia","Book of Hours, use of Paris","Lewis E 92","Latin; French, Middle (ca.1400-1600)","In the border surrounding the miniature of the Crucifixion (fol. 84r) are two unidentified coats-of-arms, possibly of the family for whom the manuscript was originally made; mid-fifteenth century","1440-1460","France Flanders?","15th century;French;France;Book of Hours;Illustration;Miniature;Illumination;Christian;Devotion;Private devotional text;Flemish;Netherlands","http://openn.library.upenn.edu/Data/0023/lewis_e_092/data/web/5314_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_092.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_092.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_092/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_092/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_092/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_092/index.html#page/1/mode/2up</a>,"","This mid-fifteenth-century Book of Hours of the Use of Paris contains a calendar with numerous saints venerated in the region of Laon and Soissons. The Gospel Lessons are followed by the Obsecro te, O intemerata, and Salve regina misericordia prayers. The manuscript contains eleven half-page miniatures at the usual textual divisions, though it is lacking the miniature at the beginning of Matins for the Hours of the Virgin. The Hours of the Virgin is followed by the Penitential Psalms, Litany, and prayers, the Hours of the Cross, Hours of the Holy Spirit, and Office of the Dead. There are no suffrages. The border surrounding the Crucifixion (fol. 84r) contains two unidentified coats-of-arms which may indicate the original owner. The miniatures appear to have been retouched by a skillful modern artist, though the coats-of-arms appear to be unaltered, or at least in their original position.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_092/lewis_e_092.html">http://138.197.87.173/bibliophilly/collation/lewis_e_092/lewis_e_092.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Book of Hours, Use of Paris","Lewis E 96","Latin; French, Middle (ca.1400-1600)","Fourth quarter of the 15th century","1475-1499","France","Book of Hours;15th century;France;French;Christian;Miniature;Illumination;Illustration;Private devotional text;Devotion;Liturgy","http://openn.library.upenn.edu/Data/0023/lewis_e_096/data/web/4355_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_096.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_096.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_096/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_096/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_096/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_096/index.html#page/1/mode/2up</a>,"","This manuscript is a Book of Hours for the Use of Paris, produced in the last quarter of the fifteenth century. It contains sixteen large miniatures marking the major divisions of the text, and seventeen seven-line miniatures illustrating the Gospel Lessons after John and the Suffrages. The calendar and the prayers from folios 146v-154r are in French.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_096/lewis_e_096.html">http://138.197.87.173/bibliophilly/collation/lewis_e_096/lewis_e_096.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Book of hours, Use of Paris","Lewis E 98","Latin; French, Middle (ca.1400-1600)","Fourth quarter 15th century","1475-1499","Paris, France","Book of Hours;15th century;Christian;French;Illustration;France;Devotion;Liturgy;Illumination;Miniature","http://openn.library.upenn.edu/Data/0023/lewis_e_098/data/web/4867_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_098.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_098.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_098/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_098/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_098/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_098/index.html#page/1/mode/2up</a>,"","This manuscript is a fifteenth-century Book of Hours, following the use of Paris.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_098/lewis_e_098.html">http://138.197.87.173/bibliophilly/collation/lewis_e_098/lewis_e_098.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Book of Hours, Use of Rome","Lewis E 100","Latin","Fourth quarter 15th century","1475-1499","Flanders","Book of Hours;15th century;Christian;Flanders;Flemish;Miniature;Illumination;Devotion;Private devotional text;Liturgy;Illustration","http://openn.library.upenn.edu/Data/0023/lewis_e_100/data/web/4359_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_100.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_100.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_100/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_100/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_100/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_100/index.html#page/1/mode/2up</a>,"","This late fifteenth-century liturgical manuscript is a Book of Hours for the Use of Rome with a calendar for Flanders, Short Hours of the Holy Spirit and the Cross, a Mass of the Virgin, and the Hours of the Virgin. There are six full-page miniatures with blank versos, face pages with matching foliate borders, and illuminated opening initials.",Collation View: <a href=""/>,"Online? Yes",""
"Free Library of Philadelphia","Book of Hours, Use of Rome","Lewis E 101","Latin; Dutch, Middle (ca.1050-1350)","Third quarter of the 15th century","1450-1475","Flanders","Book of Hours;15th century;Flanders;Flemish;Christian;Miniature;Historiated initial;Private devotional text;Devotion;Liturgy;Illustration","http://openn.library.upenn.edu/Data/0023/lewis_e_101/data/web/4868_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_101.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_101.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_101/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_101/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_101/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_101/index.html#page/1/mode/2up</a>,"","This manuscript is a Book of Hours for the Use of Rome produced in Flanders in the third quarter of the fifteenth century. It contains twenty three-to-seven-line historiated initials and three full-page miniatures by a follower of William Vrelant, one of which is an unusual depiction of the heraldic Arma Christi supported by Christ and the Virgin Mary (fol. 92r). The rubrics on fols. 80v, 150r-151r, and 154r are in Dutch.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_101/lewis_e_101.html">http://138.197.87.173/bibliophilly/collation/lewis_e_101/lewis_e_101.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Book of Hours, Use of Rome","Lewis E 103","Latin","15th or 16th century","1400-1599","Flanders","Book of Hours;15th century;16th century;Flemish;Flanders;Inhabited;Missing leaves;Devotion;Private devotional text;Liturgy;Illustration","http://openn.library.upenn.edu/Data/0023/lewis_e_103/data/web/4953_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_103.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_103.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_103/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_103/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_103/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_103/index.html#page/1/mode/2up</a>,"","This Book of Hours, Use of Rome, is from fifteenth- or sixteenth-century Flanders. Although now missing at least eleven leaves that likely had miniatures, it retains nineteen leaves with three-quarter or full borders with floral specimens and sometimes lattice-work against colored backgrounds, inhabited by creatures including butterflies and moths, snails, birds, an owl, and a monkey. Prayers, suffrages, and Gospel lessons precede the Hours of the Virgin.",Collation View: <a href=""/>,"Online? Yes",""
"Free Library of Philadelphia","Book of Hours, Use of Rome","Lewis E 105","Latin","Last quarter of the 15th century","1475-1499","Flanders","Book of Hours;15th century;Christian;Flanders;Flemish;Belgium;Miniature;Illumination;Devotion;Private devotional text;Liturgy;Illustration","http://openn.library.upenn.edu/Data/0023/lewis_e_105/data/web/4871_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_105.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_105.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_105/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_105/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_105/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_105/index.html#page/1/mode/2up</a>,"","This compact manuscript is an illuminated Book of Hours for the Use of Rome, written in Flanders in the last quarter of the fifteenth century and including northern French and Flemish saints in the litany. Each of the major text divisions opens with a full-page illuminated miniature facing a page of text with a full floral border.  A hymn has been added to the front and prayers to the back of the volume, by later hands.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_105/lewis_e_105.html">http://138.197.87.173/bibliophilly/collation/lewis_e_105/lewis_e_105.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Book of Hours, Use of Rome","Lewis E 109","Latin; French, Middle (ca.1400-1600)","Manuscript is from France (Abbey of Saint-Amand near Tournai), but the miniatures added by English miniaturist C.W. Wing; the date of the production of the manuscript itself is recorded in colophon as 1537; inscriptions on fols. 33v and 59r (perhaps added by Wing) record the date 1536; 1537 (text) and 1850-1859 (miniatures); between 1850 and 1859","1850-1859","Abbey of Saint-Amand, France England","Book of Hours;19th century;16th century;French;France;Christian;Miniature;Devotion;Private devotional text;Liturgy;Illustration","http://openn.library.upenn.edu/Data/0023/lewis_e_109/data/web/4872_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_109.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_109.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_109/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_109/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_109/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_109/index.html#page/1/mode/2up</a>,"","This book of hours was originally written at the Abbey of Saint-Amand near Tournai for François Duquesne in 1537, but was heavily modified in the mid-nineteenth-century by the noted restorer/forger of medieval and renaissance manuscripts, William (Caleb) Wing. The latter added the eleven full-page miniatures in French Renaissance Style and, it would seem, the secondary decoration on the remaining pages.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_109/lewis_e_109.html">http://138.197.87.173/bibliophilly/collation/lewis_e_109/lewis_e_109.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Book of Hours, use of Rome","Lewis E 110","Latin; French, Middle (ca.1400-1600)","Early 15th century","1400-1415","Northern France","Book of Hours;15th century;France;French;Christian;Miniature;Flemish;Inhabited initial;Devotion;Private devotional text;Liturgy;Illustration","http://openn.library.upenn.edu/Data/0023/lewis_e_110/data/web/4877_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_110.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_110.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_110/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_110/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_110/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_110/index.html#page/1/mode/2up</a>,"","This manuscript is a Book of Hours from the early 15th century.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_110/lewis_e_110.html">http://138.197.87.173/bibliophilly/collation/lewis_e_110/lewis_e_110.html</a>,"Online? Yes",""
